color,fruit
red,apple
black,grapes
yellow,banana
brown,kiwi
green,guava
red,apple
black,grapes
yellow,banana
brown,kiwi
green,guava
red,apple
black,grapes
yellow,banana
brown,kiwi
green,guava
red,apple
black,grapes
yellow,banana
brown,kiwi
green,guava
red,apple
black,grapes
yellow,banana
brown,kiwi
green,guava
red,apple
black,grapes
yellow,banana
brown,kiwi
green,guava
red,apple
black,grapes
yellow,banana
brown,kiwi
green,guava
red,apple
black,grapes
yellow,banana
brown,kiwi
green,guava
red,apple
black,grapes
yellow,banana
brown,kiwi
green,guava
red,apple
black,grapes
yellow,banana
brown,kiwi
green,guava
red,apple
black,grapes
yellow,banana
brown,kiwi
green,guava
red,apple
black,grapes
yellow,banana
brown,kiwi
green,guava
red,apple
black,grapes
yellow,banana
brown,kiwi
green,guava
red,apple
black,grapes
yellow,banana
brown,kiwi
green,guava
red,apple
black,grapes
yellow,banana
brown,kiwi
green,guava
red,apple
black,grapes
yellow,banana
brown,kiwi
green,guava
red,apple
black,grapes
yellow,banana
brown,kiwi
green,guava
red,apple
black,grapes
yellow,banana
brown,kiwi
green,guava
red,apple
black,grapes
yellow,banana
brown,kiwi
green,guava
red,apple
black,grapes
yellow,banana
brown,kiwi
